year,team_name,stage_rank,won_tournament,elo_pre_tournament,form_matches,form_win_rate,form_draw_rate,form_gd_per_game,form_gf_per_game,form_ga_per_game,form_points_per_game,squad_size,squad_avg_age,squad_min_age,squad_avg_exp,n_gk,n_def,n_mid,n_fwd,wc_appearances,best_stage_ever,is_host,won_last_wc
1934,Hungary,4,0,1500.0,15.0,0.4,0.2,0.06666666666666667,1.9333333333333333,1.8666666666666667,1.4,22,25.0,21.22655715263518,0.0,0,4,7,9,0,0,0,0
1934,Italy,7,1,1500.0,10.0,0.8,0.1,1.6,2.8,1.2,2.5,22,28.1,20.142368240930868,0.09,0,4,7,8,0,0,1,0
1934,Netherlands,3,0,1500.0,10.0,0.5,0.0,0.9,2.9,2.0,1.5,22,25.2,19.077344284736483,0.0,0,3,5,11,0,0,0,0
1934,Romania,3,0,1500.0,4.0,0.75,0.25,3.25,4.0,0.75,2.5,22,24.3,20.591375770020534,0.09,0,5,5,9,1,1,0,0
1934,Spain,4,0,1500.0,7.0,0.7142857142857143,0.14285714285714285,3.857142857142857,4.285714285714286,0.42857142857142855,2.2857142857142856,22,25.6,21.555099247091032,0.0,0,3,9,8,0,0,0,0
1934,Sweden,4,0,1500.0,8.0,0.75,0.125,1.625,2.875,1.25,2.375,23,27.1,22.146475017111566,0.0,0,3,6,11,0,0,0,0
1934,Switzerland,4,0,1500.0,12.0,0.25,0.25,-0.8333333333333334,1.5,2.3333333333333335,1.0,23,24.8,19.54277891854894,0.0,0,5,5,10,0,0,0,0
1934,United States,3,0,1500.0,1.0,1.0,0.0,2.0,4.0,2.0,3.0,19,28.1,17.760438056125942,0.21,0,5,8,5,1,5,0,0
1938,Belgium,3,0,1500.0,14.0,0.2857142857142857,0.21428571428571427,-0.6428571428571429,1.6428571428571428,2.2857142857142856,1.0714285714285714,22,25.7,20.254620123203285,0.32,0,5,5,9,2,3,0,0
1938,Brazil,6,0,1500.0,6.0,0.6666666666666666,0.0,1.0,2.8333333333333335,1.8333333333333333,2.0,22,25.9,20.58590006844627,0.14,0,4,6,10,2,3,0,0
1938,Cuba,4,0,1500.0,1.0,0.0,0.0,-4.0,0.0,4.0,0.0,15,23.9,20.470910335386723,0.0,0,2,3,8,0,0,0,0
1938,Czechoslovakia,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.9,19.21697467488022,0.36,0,4,5,11,1,7,0,0
