year,player_id,team_name,matches_played,matches_started,position_name,goals_scored,penalty_goals,open_play_goals,family_name,given_name,player_name,age,wc_exp,won_golden_boot,won_best_player,won_young_player
2018,P-40820,Poland,1,1,center back,0,0,0,Cionek,Thiago,Thiago Cionek,32.1,0,False,False,False
2018,P-41027,Japan,3,1,midfielder,0,0,0,Yamaguchi,Hotaru,Hotaru Yamaguchi,27.7,1,False,False,False
2018,P-41758,Brazil,5,1,midfielder,0,0,0,Fernandinho,not applicable,not applicable Fernandinho,33.1,1,False,False,False
2018,P-42113,Argentina,3,3,left winger,1,0,1,Di María,Ángel,Ángel Di María,30.3,2,False,False,False
2018,P-42160,Poland,3,2,defender,0,0,0,Bereszyński,Bartosz,Bartosz Bereszyński,25.9,0,False,False,False
2018,P-42223,Tunisia,3,3,center forward,2,0,2,Khazri,Wahbi,Wahbi Khazri,27.3,0,False,False,False
2018,P-42326,France,7,7,center back,1,0,1,Varane,Raphaël,Raphaël Varane,25.1,1,False,False,False
2018,P-42517,Morocco,1,0,forward,1,0,1,En-Nesyri,Youssef,Youssef En-Nesyri,21.0,0,False,False,False
2018,P-42644,Costa Rica,1,0,midfielder,0,0,0,Wallace,Rodney,Rodney Wallace,30.0,0,False,False,False
2018,P-42911,Mexico,4,4,center midfielder,0,0,0,Herrera,Héctor,Héctor Herrera,28.2,1,False,False,False
2018,P-43196,Colombia,3,3,center back,3,0,3,Mina,Yerry,Yerry Mina,23.7,0,False,False,False
2018,P-43367,Switzerland,4,4,left back,0,0,0,Rodríguez,Ricardo,Ricardo Rodríguez,25.8,1,False,False,False
2018,P-43675,Russia,5,3,midfielder,4,0,4,Cheryshev,Denis,Denis Cheryshev,27.5,0,False,False,False
2018,P-44044,Senegal,1,1,center forward,0,0,0,Baldé,Keita,Keita Baldé,23.3,0,False,False,False
2018,P-44093,Egypt,3,3,right back,0,0,0,Fathy,Ahmed,Ahmed Fathy,33.6,0,False,False,False
2018,P-44386,Denmark,4,4,right back,0,0,0,Dalsgaard,Henrik,Henrik Dalsgaard,28.9,0,False,False,False
2018,P-44463,Croatia,6,6,right winger,1,0,1,Rebić,Ante,Ante Rebić,24.7,1,False,False,False
2018,P-44505,Panama,2,2,left back,0,0,0,Davis,Erick,Erick Davis,27.2,0,False,False,False
2018,P-44689,Portugal,4,4,center midfielder,0,0,0,Carvalho,William,William Carvalho,26.2,1,False,False,False
2018,P-44763,Mexico,3,1,defender,0,0,0,Márquez,Rafael,Rafael Márquez,39.3,4,False,False,False
2018,P-44926,Australia,1,0,forward,0,0,0,Cahill,Tim,Tim Cahill,38.5,3,False,False,False
2018,P-44932,Serbia,2,2,center midfielder,0,0,0,Milivojević,Luka,Luka Milivojević,27.2,0,False,False,False
2018,P-45288,Morocco,3,3,center back,0,0,0,Hakimi,Achraf,Achraf Hakimi,19.6,0,False,False,False
2018,P-45419,Iceland,2,2,center back,0,0,0,Árnason,Kári,Kári Árnason,35.7,0,False,False,False
2018,P-45449,Poland,3,3,center midfielder,1,0,1,Krychowiak,Grzegorz,Grzegorz Krychowiak,28.4,0,False,False,False
2018,P-45457,Saudi Arabia,3,3,left back,0,0,0,Al-Shahrani,Yasser,Yasser Al-Shahrani,26.1,0,False,False,False
2018,P-45505,Serbia,3,2,left winger,0,0,0,Ljajić,Adem,Adem Ljajić,26.7,0,False,False,False
2018,P-45528,Australia,3,3,left winger,0,0,0,Kruse,Robbie,Robbie Kruse,29.7,0,False,False,False
2018,P-45548,Australia,3,3,attacking midfielder,0,0,0,Rogic,Tom,Tom Rogic,25.5,0,False,False,False
2018,P-46039,Morocco,2,0,midfielder,0,0,0,Fajr,Fayçal,Fayçal Fajr,29.9,0,False,False,False
